adult,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count
False,[18],147,fr,Les Quatre Cents Coups,27.239,1959-06-03,The 400 Blows,8.05,2012
False,"[10751, 12, 18]",522518,en,A Dog's Journey,39.657,2019-05-03,A Dog's Journey,8.049,1410
False,"[18, 28, 80]",7347,pt,Tropa de Elite,33.492,2007-10-12,Elite Squad,8.049,2274
False,[18],538362,it,Sulla mia pelle,10.619,2018-09-12,On My Skin,8.045,1825
False,"[18, 10749]",42229,it,Una giornata particolare,16.04,1977-08-11,A Special Day,8.044,616
False,"[18, 36]",1955,en,The Elephant Man,27.066,1980-10-09,The Elephant Man,8.044,3308
False,"[18, 10749]",26022,hi,My Name Is Khan,21.901,2010-02-10,My Name Is Khan,8.043,1246
False,"[35, 10749]",930094,en,"Red, White & Royal Blue",58.953,2023-07-27,"Red, White & Royal Blue",8.0,1078
False,"[28, 18]",678512,en,Sound of Freedom,114.51,2023-07-03,Sound of Freedom,8.04,2049
False,[18],785534,tr,Kağıttan Hayatlar,15.036,2021-03-12,Paper Lives,8.037,355
False,[18],800,es,Los olvidados,11.421,1950-12-09,The Young and the Damned,8.037,455
False,"[36, 10402, 18]",279,en,Amadeus,37.94,1984-09-19,Amadeus,8.036,3998
False,"[18, 36]",740937,fr,"Simone, le voyage du siècle",8.086,2022-10-12,Simone: Woman of the Century,8.0,301
False,"[80, 18, 35]",106646,en,The Wolf of Wall Street,102.388,2013-12-25,The Wolf of Wall Street,8.035,23034
